unique_words/months,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Grand Total
243,,,,,,,,,,2,,,,1,1,1,1,,,1,,,,7
244,,,,,,,,,1,,1,1,1,,1,1,2,1,,,1,1,1,12
245,,,,,,,,,1,,2,,2,,,4,2,1,2,,1,1,,16
246,,,,,,,,,,,,1,2,1,,1,,2,,,,,,7
247,,,,,,,,,1,,,,,,1,2,2,1,,1,,2,,10
248,,,,,,,,,,1,,1,,,5,,4,1,1,,,,,13
249,,,,,,,,,,,3,,,1,2,1,1,1,,,1,,,10
250,,,,,,,,,1,,1,,,,,,1,1,1,,,,,5
251,,,,,,,,,,,,1,,,,1,3,3,,,,,1,9
252,,,,,,,,,1,1,1,,4,1,1,,,2,1,,1,1,,14
253,,,,,,,,,,,1,1,,,1,,6,1,,,3,,,13
254,,,,,,,,,,,,,,,,1,2,1,,,1,,1,6
255,,,,,,,,,,,,2,2,,1,1,1,1,,1,1,,2,12
256,,,,,,,,,2,,,,3,1,1,,1,1,,,,1,,10
257,,,,,,,,,,,,1,2,1,,1,2,4,1,1,,,2,15
258,,,,,,,,,,,,,1,,1,1,1,,,,,1,1,6
259,,,,,,,,,,,,2,1,,,3,,1,,,1,1,,9
260,,,,,,,,,2,1,,2,,,,1,1,1,,1,2,,,11
261,,,,1,,,,,,2,,,2,,1,,,1,,,1,,,8
262,,,,,,,,,,,2,1,,2,,2,5,,,2,1,,1,16
263,,,,,,,,,,,,2,,,1,1,1,1,,2,1,,,9
264,,,,,,,,,,,,,1,,2,,1,1,,1,1,,1,8
265,,,,,,,,,,1,,,3,,,,1,1,1,3,,,,10
266,,,,,,,,,,,1,1,,,1,1,3,4,,,1,,,12
267,,,,,,,,,,,,,,,,,3,,1,1,1,1,2,9
268,,,,,,,,,,,1,,,,,2,3,,1,,2,,,9
269,,,,,,,,,,,2,1,,,2,,1,1,,1,,,1,9
270,,,,1,,,,,,,2,,,,,,2,1,1,2,1,,,10
271,,,,,,,,,,,,,1,,,,2,,1,1,3,1,3,12
272,,,,,,,,,1,,,1,,,1,2,1,,3,,,1,,10
273,,,,,,,,,,,2,2,1,,1,2,1,2,2,,,,3,16
274,,,,,,,,,,,,,,,1,2,4,1,2,,3,,2,15
275,,,,,,,,,1,,,,,1,1,,2,1,,1,,1,1,9
276,,,,,,,,,,,,1,1,1,,,1,1,,,1,1,1,8
277,,,,,,,,1,,,,,,,,,2,1,,,1,,1,6
278,,,,,,,,,1,,2,1,2,,2,,3,1,2,,1,,,15
279,,,,,,,,,1,,,,,,,2,1,1,,,1,,,6
280,,,,,,,,,,,,1,,,1,1,1,1,2,1,2,1,,11
281,,,,,,,,,,,1,2,1,,1,,,,,1,,,3,9
282,,,,,,,,,,,,,,,,,2,3,1,,,1,1,8
283,,,,,,,,,,,,1,,,1,,1,1,1,,1,,1,7
284,,,,,,,,,1,,1,1,1,,2,2,2,,,,1,,2,13
285,,,,,,,,,,1,1,,1,1,1,,1,5,,,,,1,12
286,,,,,,,,,,,,1,,2,,2,4,,,2,,,1,12
287,,,,,,,,,,,,,,,1,,1,,,,,,,2
288,,,,,,,,,1,,,1,,2,,,1,2,1,,2,,1,11
289,,,,,,,,,,,,,,2,1,,2,1,,,2,1,,9
290,,,,,,,,,,1,,1,,1,1,2,,,1,3,2,,2,14
291,,,,,,,,,,1,1,,,1,2,1,5,,,,,,,11
292,,,,,,,,,,,,1,1,,1,,1,3,,,2,1,,10
293,,,,,,,,,,1,1,,,,,1,1,1,1,,,,1,7
294,,,,,,,,,1,,1,,1,1,,,1,2,1,,2,,1,11
295,,,,,,,,,,,,1,1,,3,,2,1,1,2,3,,,14
296,,,,,,,,,,,,1,,1,1,2,,3,2,1,1,,1,13
297,,,,,,,,,,,,,1,2,1,1,1,,,,2,1,1,10
298,,,,,,,,,,,,1,,,,1,1,2,1,,1,1,1,9
299,,1,,,,,,,,,,,,,1,2,,,2,,,,,6
300,,,,,,,,,,,,1,,1,,1,2,1,2,2,4,,,14
301,,,,,,,,,,,2,,,,,,2,1,2,1,1,1,,10
302,,,,,,,,,,,,1,2,1,2,,1,1,1,2,1,,,12
303,,,,,,,,,,,1,,,2,1,1,,1,1,1,1,1,,10
304,,,,,,,,,1,,,,1,,,,1,,1,1,1,1,,7
305,,,,,,,,,,,,,,,,,,2,,,1,,1,4
306,,,,,,,,,,,,1,,1,,1,5,3,,,2,,2,15
307,,,,,,,,,,,,1,1,,1,4,3,2,,3,1,,1,17
308,,,,,,,,,,,,1,,,,,2,1,,,2,,3,9
309,,,,1,,,,,,,,1,1,,,1,1,2,,,,,1,8
310,,,,,,,,,,,,1,1,3,,2,2,2,1,,,,1,13
311,,,,,,,,,1,,,,1,1,,1,,2,2,,,1,,9
312,,,,,,,,,,,,1,,,1,1,,,,,1,1,1,6
313,,,,1,,1,,,,,1,2,,1,1,,4,1,,1,1,1,1,16
314,,,,,,,,,,,,1,1,,,1,4,2,,1,3,,2,15
315,,,,,,,,,1,,,,,2,1,1,3,,,,1,1,1,11
316,,,,,,,,,,,,,,,,1,2,3,1,,1,1,,9
317,,,,,,,,,,,,,,,2,1,4,1,2,1,1,,3,15
318,,,,,,,,,,,,,,,,1,3,,,2,2,1,1,10
319,,,,,,,,,,1,,,,,,1,1,1,,,,,,4
320,,,,,,,,,,,,2,1,,2,,1,,,,1,1,,8
321,,,,,,,,,,,,,,,,2,,,2,,1,,,5
